occupation_id,function_id,physicality,cognitive,environment
3358c025-edfe-5649-9995-bca8423777e2,bdea0abc-0955-5d4b-95c4-068ee6349b55,Moderate,Heavy,Independent
3358c025-edfe-5649-9995-bca8423777e2,ecb8bb99-ce48-54ad-abac-04c48fd2a6ab,Light,Heavy,Team-Oriented
3358c025-edfe-5649-9995-bca8423777e2,c8581fa8-b4ab-532e-994c-345e2a9c7edc,Light,Heavy,Team-Oriented
3358c025-edfe-5649-9995-bca8423777e2,9303eba0-3f9d-5a23-b372-9f6e52d9264b,Light,Heavy,Virtual/Remote
3358c025-edfe-5649-9995-bca8423777e2,921227ee-7199-591b-8226-9ec52a5e9146,Light,Heavy,Indoors (Office/Lab)
3358c025-edfe-5649-9995-bca8423777e2,90925f60-f354-589c-aa43-20f47469db64,Light,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,4b565414-5eef-55aa-a786-bb76369f8718,Moderate,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,0fc92554-a487-597e-a254-ba05d203b21c,Moderate,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,294a89d8-5ebf-5340-86de-4366a2f4abf4,Moderate,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,5aaafeee-464c-5246-8e55-6cc1d7039973,Moderate,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,7e3420b6-de69-5558-9676-48ab916c81ab,Moderate,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,47b52e82-6b9e-50c8-a8db-9792feb6d758,Moderate,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,c5de15b8-41fc-5ef2-adb9-4d8d4378e87e,Moderate,Heavy,Team-Oriented
3358c025-edfe-5649-9995-bca8423777e2,70c62562-478c-5c42-ba36-af7dfea5cd26,Moderate,Heavy,Team-Oriented
3358c025-edfe-5649-9995-bca8423777e2,6ed2c787-a1a3-5a7f-9031-ed31ff2b975b,Moderate,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,d3d68dc5-c062-5974-b7ba-bafa30681140,Light,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,127fe659-74ba-5d06-a183-96fb05bee4a6,Moderate,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,d737dd0f-6929-545e-abef-f16c59e4d4d8,Moderate,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,a4442d69-071e-5122-ab43-8c4d8e64db87,Moderate,Heavy,Independent
3358c025-edfe-5649-9995-bca8423777e2,f0356f92-516f-51fd-821f-a9fcc8a18be6,Moderate,Heavy,Public-Facing
3358c025-edfe-5649-9995-bca8423777e2,271160c0-9ef1-500c-893d-5f61e4184d04,Moderate,Heavy,Independent
04cf3199-125a-5e4b-9a15-05a5828570a3,7899a0b4-3aeb-5633-9eac-cd9f64e76e5d,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,fe6a5b26-c30a-595c-a6bc-449fd45b97f8,Moderate,Heavy,Outdoors
04cf3199-125a-5e4b-9a15-05a5828570a3,0c044331-4608-5787-a63d-df7d8b18146a,Light,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,8931ae0b-2cb4-58f4-b5fd-8f4a0eeea537,Light,Heavy,Indoors (Office/Lab)
04cf3199-125a-5e4b-9a15-05a5828570a3,a02eb264-f355-557a-b3da-5bd7a0b613b8,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,d86955e3-05df-537d-b9e3-caa9cea8cc83,Light,Heavy,Independent
04cf3199-125a-5e4b-9a15-05a5828570a3,4417904f-d25d-5d0b-9633-3e9f7bfa5032,Moderate,Heavy,Independent
04cf3199-125a-5e4b-9a15-05a5828570a3,5d29f83d-92a7-51c6-beb3-8713c95155c3,Light,Heavy,Independent
04cf3199-125a-5e4b-9a15-05a5828570a3,2f8a9a65-ade2-556a-a067-38d41461fb91,Moderate,Heavy,Independent
04cf3199-125a-5e4b-9a15-05a5828570a3,4b6d866e-e965-5dfc-935c-59e276ee8a51,Moderate,Heavy,Team-Oriented
04cf3199-125a-5e4b-9a15-05a5828570a3,5ef424ef-7c5c-5c6b-82dd-cdd961bf2517,Moderate,Heavy,Independent
04cf3199-125a-5e4b-9a15-05a5828570a3,bdea0abc-0955-5d4b-95c4-068ee6349b55,Moderate,Heavy,Independent
04cf3199-125a-5e4b-9a15-05a5828570a3,ecb8bb99-ce48-54ad-abac-04c48fd2a6ab,Light,Heavy,Team-Oriented
04cf3199-125a-5e4b-9a15-05a5828570a3,c8581fa8-b4ab-532e-994c-345e2a9c7edc,Light,Heavy,Team-Oriented
04cf3199-125a-5e4b-9a15-05a5828570a3,9303eba0-3f9d-5a23-b372-9f6e52d9264b,Light,Heavy,Virtual/Remote
04cf3199-125a-5e4b-9a15-05a5828570a3,921227ee-7199-591b-8226-9ec52a5e9146,Light,Heavy,Indoors (Office/Lab)
04cf3199-125a-5e4b-9a15-05a5828570a3,90925f60-f354-589c-aa43-20f47469db64,Light,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,4b565414-5eef-55aa-a786-bb76369f8718,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,0fc92554-a487-597e-a254-ba05d203b21c,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,294a89d8-5ebf-5340-86de-4366a2f4abf4,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,6972e68d-2610-5973-94ca-ed1745892687,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,5aaafeee-464c-5246-8e55-6cc1d7039973,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,7e3420b6-de69-5558-9676-48ab916c81ab,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,c5de15b8-41fc-5ef2-adb9-4d8d4378e87e,Moderate,Heavy,Team-Oriented
04cf3199-125a-5e4b-9a15-05a5828570a3,70c62562-478c-5c42-ba36-af7dfea5cd26,Moderate,Heavy,Team-Oriented
04cf3199-125a-5e4b-9a15-05a5828570a3,6ed2c787-a1a3-5a7f-9031-ed31ff2b975b,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,d3d68dc5-c062-5974-b7ba-bafa30681140,Light,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,127fe659-74ba-5d06-a183-96fb05bee4a6,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,d737dd0f-6929-545e-abef-f16c59e4d4d8,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,a4442d69-071e-5122-ab43-8c4d8e64db87,Moderate,Heavy,Independent
04cf3199-125a-5e4b-9a15-05a5828570a3,f0356f92-516f-51fd-821f-a9fcc8a18be6,Moderate,Heavy,Public-Facing
04cf3199-125a-5e4b-9a15-05a5828570a3,271160c0-9ef1-500c-893d-5f61e4184d04,Moderate,Heavy,Independent
6bf79092-e414-55f9-bfa0-672ceab05923,7899a0b4-3aeb-5633-9eac-cd9f64e76e5d,Moderate,Heavy,Public-Facing
6bf79092-e414-55f9-bfa0-672ceab05923,0c044331-4608-5787-a63d-df7d8b18146a,Light,Heavy,Public-Facing
6bf79092-e414-55f9-bfa0-672ceab05923,a02eb264-f355-557a-b3da-5bd7a0b613b8,Moderate,Heavy,Public-Facing
6bf79092-e414-55f9-bfa0-672ceab05923,d86955e3-05df-537d-b9e3-caa9cea8cc83,Light,Heavy,Independent
6bf79092-e414-55f9-bfa0-672ceab05923,5d29f83d-92a7-51c6-beb3-8713c95155c3,Light,Heavy,Independent
6bf79092-e414-55f9-bfa0-672ceab05923,2f8a9a65-ade2-556a-a067-38d41461fb91,Moderate,Heavy,Independent
6bf79092-e414-55f9-bfa0-672ceab05923,4b6d866e-e965-5dfc-935c-59e276ee8a51,Moderate,Heavy,Team-Oriented
6bf79092-e414-55f9-bfa0-672ceab05923,5ef424ef-7c5c-5c6b-82dd-cdd961bf2517,Moderate,Heavy,Independent
6bf79092-e414-55f9-bfa0-672ceab05923,bdea0abc-0955-5d4b-95c4-068ee6349b55,Moderate,Heavy,Independent
6bf79092-e414-55f9-bfa0-672ceab05923,ecb8bb99-ce48-54ad-abac-04c48fd2a6ab,Light,Heavy,Team-Oriented
6bf79092-e414-55f9-bfa0-672ceab05923,c8581fa8-b4ab-532e-994c-345e2a9c7edc,Light,Heavy,Team-Oriented
6bf79092-e414-55f9-bfa0-672ceab05923,9303eba0-3f9d-5a23-b372-9f6e52d9264b,Light,Heavy,Virtual/Remote
6bf79092-e414-55f9-bfa0-672ceab05923,921227ee-7199-591b-8226-9ec52a5e9146,Light,Heavy,Indoors (Office/Lab)
6bf79092-e414-55f9-bfa0-672ceab05923,90925f60-f354-589c-aa43-20f47469db64,Light,Heavy,Public-Facing
6bf79092-e414-55f9-bfa0-672ceab05923,4b565414-5eef-55aa-a786-bb76369f8718,Moderate,Heavy,Public-Facing
6bf79092-e414-55f9-bfa0-672ceab05923,0fc92554-a487-597e-a254-ba05d203b21c,Moderate,Heavy,Public-Facing
6bf79092-e414-55f9-bfa0-672ceab05923,294a89d8-5ebf-5340-86de-4366a2f4abf4,Moderate,Heavy,Public-Facing
6bf79092-e414-55f9-bfa0-672ceab05923,5aaafeee-464c-5246-8e55-6cc1d7039973,Moderate,Heavy,Public-Facing
6bf79092-e414-55f9-bfa0-672ceab05923,47b52e82-6b9e-50c8-a8db-9792feb6d758,Moderate,Heavy,Public-Facing
6bf79092-e414-55f9-bfa0-672ceab05923,c5de15b8-41fc-5ef2-adb9-4d8d4378e87e,Moderate,Heavy,Team-Oriented
6bf79092-e414-55f9-bfa0-672ceab05923,a4442d69-071e-5122-ab43-8c4d8e64db87,Moderate,Heavy,Independent
5fb0b246-0d82-54f8-938d-c49f7590d395,7899a0b4-3aeb-5633-9eac-cd9f64e76e5d,Moderate,Heavy,Public-Facing
5fb0b246-0d82-54f8-938d-c49f7590d395,fe6a5b26-c30a-595c-a6bc-449fd45b97f8,Moderate,Heavy,Outdoors
5fb0b246-0d82-54f8-938d-c49f7590d395,0c044331-4608-5787-a63d-df7d8b18146a,Light,Heavy,Public-Facing
5fb0b246-0d82-54f8-938d-c49f7590d395,8931ae0b-2cb4-58f4-b5fd-8f4a0eeea537,Light,Heavy,Indoors (Office/Lab)
5fb0b246-0d82-54f8-938d-c49f7590d395,a02eb264-f355-557a-b3da-5bd7a0b613b8,Moderate,Heavy,Public-Facing
5fb0b246-0d82-54f8-938d-c49f7590d395,d86955e3-05df-537d-b9e3-caa9cea8cc83,Light,Heavy,Independent
5fb0b246-0d82-54f8-938d-c49f7590d395,5d29f83d-92a7-51c6-beb3-8713c95155c3,Light,Heavy,Independent
5fb0b246-0d82-54f8-938d-c49f7590d395,2f8a9a65-ade2-556a-a067-38d41461fb91,Moderate,Heavy,Independent
5fb0b246-0d82-54f8-938d-c49f7590d395,4b6d866e-e965-5dfc-935c-59e276ee8a51,Moderate,Heavy,Team-Oriented
5fb0b246-0d82-54f8-938d-c49f7590d395,5ef424ef-7c5c-5c6b-82dd-cdd961bf2517,Moderate,Heavy,Independent
5fb0b246-0d82-54f8-938d-c49f7590d395,bdea0abc-0955-5d4b-95c4-068ee6349b55,Moderate,Heavy,Independent
5fb0b246-0d82-54f8-938d-c49f7590d395,ecb8bb99-ce48-54ad-abac-04c48fd2a6ab,Light,Heavy,Team-Oriented
5fb0b246-0d82-54f8-938d-c49f7590d395,c8581fa8-b4ab-532e-994c-345e2a9c7edc,Light,Heavy,Team-Oriented
5fb0b246-0d82-54f8-938d-c49f7590d395,9303eba0-3f9d-5a23-b372-9f6e52d9264b,Light,Heavy,Virtual/Remote
5fb0b246-0d82-54f8-938d-c49f7590d395,921227ee-7199-591b-8226-9ec52a5e9146,Light,Heavy,Indoors (Office/Lab)
5fb0b246-0d82-54f8-938d-c49f7590d395,90925f60-f354-589c-aa43-20f47469db64,Light,Heavy,Public-Facing
5fb0b246-0d82-54f8-938d-c49f7590d395,4b565414-5eef-55aa-a786-bb76369f8718,Moderate,Heavy,Public-Facing
5fb0b246-0d82-54f8-938d-c49f7590d395,0fc92554-a487-597e-a254-ba05d203b21c,Moderate,Heavy,Public-Facing
5fb0b246-0d82-54f8-938d-c49f7590d395,294a89d8-5ebf-5340-86de-4366a2f4abf4,Moderate,Heavy,Public-Facing
5fb0b246-0d82-54f8-938d-c49f7590d395,5aaafeee-464c-5246-8e55-6cc1d7039973,Moderate,Heavy,Public-Facing
